f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
0.5914809704,0.2469432852,0.2374247978,0.4131106641,0.4344053166,0.0898247836,0.9318564935,0.4305022112,0.38869379,0.0269189985,0.0613803365
0.1962605254,0.975568417,0.2752761552,0.3645944493,0.2265068213,0.4872578951,0.6514849318,0.8931538411,0.1197014241,0.7858335958,0.5754613555
0.477721516,0.7713913857,0.1404935988,0.7731690812,0.402742431,0.3440686637,0.7023788597,0.1494577839,0.3128207508,0.2938598301,0.3964010691
0.5502455486,0.7069704947,0.8308063857,0.6400703322,0.6388269882,0.2613085969,0.0287641222,0.6657459866,0.3226889335,0.2250246475,0.6413144041
0.5979650891,0.5896190968,0.8678212254,0.0852229842,0.2411040291,0.760975067,0.2049244083,0.0269376249,0.3364364225,0.6826459244,0.7983290111
0.4769300213,0.4558150056,0.2010714421,0.820998685,0.1581938653,0.350529226,0.1338194357,0.4520536959,0.7469302951,0.6840649843,0.1590241906
0.5777366813,0.3241353165,0.7978511788,0.8390452783,0.3528994387,0.4635971659,0.1617342122,0.5779240867,0.10491157,0.7596993013,0.1675431835
0.9727327954,0.8449222855,0.4086472127,0.7337078624,0.0498466939,0.435584838,0.070144285,0.7324926183,0.2339138491,0.5470743068,0.1883076238
0.4349852912,0.3680729917,0.3465014896,0.7855145172,0.5018924279,0.7985551856,0.5324448124,0.1859574122,0.9575793762,0.1101814937,0.5100927292
0.755430555,0.9492267724,0.8629921679,0.2190277209,0.1109609846,0.4409162547,0.3239392908,0.8706602859,0.6084594387,0.2966720867,0.7155825715
0.0171066513,0.0303799491,0.7654292653,0.4526914894,0.1005242346,0.4979218836,0.6866053385,0.6475985413,0.6862295074,0.1215906297,0.0156715331
0.0327309971,0.9071051469,0.517563961,0.8312861826,0.4395499597,0.7035213737,0.7888655588,0.5497314534,0.2136141029,0.5442961142,0.4989582258
0.0766062709,0.7633238351,0.6099192104,0.517522526,0.0872631264,0.4805794964,0.1259819646,0.3839352131,0.1961620678,0.143088616,0.4143151622
0.9615913332,0.5957801058,0.5148393968,0.4595132167,0.2823854443,0.1624379382,0.1457427246,0.4039760744,0.1781094717,0.1784737217,0.3110812213
0.6956734327,0.0097599048,0.7506311811,0.3991948063,0.7986254636,0.3003626349,0.6128089093,0.3429215779,0.7993208608,0.6894151806,0.1062454134
0.4092400717,0.2069377066,0.1935085398,0.889819568,0.3329196712,0.5774437529,0.0859816363,0.4760082872,0.9917589151,0.0475729695,0.071788393
0.5065983124,0.5070861867,0.3541738377,0.6690362506,0.6528289113,0.7581499121,0.8471457222,0.831302633,0.0692311334,0.5428191554,0.8410625379
0.819862315,0.9420139617,0.6396880019,0.1202249499,0.5548228715,0.9826095798,0.9195458107,0.2442380521,0.0888549932,0.3287858823,0.4511757586
0.282363533,0.2186054508,0.7840954298,0.8598072859,0.3045870871,0.260103717,0.8515662015,0.3521600566,0.3318921104,0.3581645139,0.8592462433
0.6860659481,0.0272007645,0.5120751546,0.4442158602,0.8743464872,0.3433777881,0.5134469937,0.4171656426,0.1844403259,0.3333093086,0.3591796043
0.8241283279,0.4535342585,0.9140024758,0.8067379082,0.3730800697,0.1582405278,0.8955929014,0.701865952,0.6094162865,0.1779564349,0.9204714028
0.3935117163,0.0377637208,0.2250584899,0.6536154337,0.8893299224,0.577218547,0.9855075441,0.2474944363,0.4364647903,0.6715734922,0.2746952013
0.9485399453,0.1157893525,0.1490416885,0.2919177334,0.6292363461,0.5662073311,0.4763580593,0.9625456552,0.9253869355,0.3004863877,0.4160799137
0.8393894117,0.1072242958,0.7891599834,0.9976299396,0.0028171972,0.4910259359,0.6070462265,0.1807736321,0.4114973387,0.0005579428,0.2185373534
0.6365558291,0.6541733765,0.1078672758,0.2137743761,0.6396809206,0.3553617126,0.6502391663,0.3112544129,0.6300569139,0.5987791116,0.4270437653
0.7790986025,0.890696845,0.0562801119,0.3453059336,0.3670549048,0.0188257671,0.2706928691,0.6675412925,0.4349056808,0.1100822808,0.7747655883
0.2240656647,0.1077122209,0.7775827856,0.7150916005,0.7147584474,0.9583564182,0.1265889392,0.7153163902,0.1768937716,0.7631447683,0.3694897671
0.2847610475,0.9769191444,0.0091706878,0.6401227601,0.6271583112,0.3204251011,0.270179674,0.2259374228,0.7474688664,0.0492782765,0.1166342683
