@relation whatever

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute label numeric


@data
0.4003134943 , 0.7158785276 , 0.2376286425 , 0.2703448767 , 0.4210197227 , 0.9980204795 , 0.3075508829 , 0.657615921 , 0.9504808411 , 0.6007334944 , 0.9241841557 
0.6511461763 , 0.2613547426 , 0.2919430207 , 0.9007576336 , 0.7013417506 , 0.5760162002 , 0.3403218887 , 0.9813146186 , 0.9196651089 , 0.9533733032 , 0.5046069537 
0.7112569842 , 0.5775316455 , 0.6225365349 , 0.7777335164 , 0.1053270893 , 0.702541369 , 0.3144324622 , 0.8186601172 , 0.1028548633 , 0.0303109898 , 0.37319974 
0.451330713 , 0.0543092391 , 0.6807506233 , 0.108946634 , 0.0047900807 , 0.2814841177 , 0.1249304065 , 0.9289742364 , 0.932630294 , 0.386285149 , 0.8333879281 
0.0876269001 , 0.7969334573 , 0.1737098168 , 0.0689415187 , 0.7165985666 , 0.1270831199 , 0.4931377745 , 0.4278555508 , 0.7046147655 , 0.1156743099 , 0.8099418548 
0.8182156789 , 0.5200215294 , 0.628601972 , 0.9210705422 , 0.5503325197 , 0.6848907317 , 0.2942702826 , 0.0016632327 , 0.7391999708 , 0.975020906 , 0.7439900516 
0.2565050237 , 0.2355402736 , 0.6729642884 , 0.1891353182 , 0.6218254226 , 0.8938815454 , 0.0225232462 , 0.7094523227 , 0.6908150031 , 0.196233063 , 0.2815180901 
0.4074135697 , 0.3233161829 , 0.2715316163 , 0.8352691205 , 0.0279309484 , 0.3872059262 , 0.0408581877 , 0.8378728032 , 0.2054216051 , 0.5608797171 , 0.2253115979 
0.1264921478 , 0.1112122368 , 0.1513655069 , 0.4207624304 , 0.1128754695 , 0.8905654778 , 0.3957833364 , 0.2234853366 , 0.6345555298 , 0.6522883601 , 0.2068899677 
0.3075198182 , 0.8414236782 , 0.0808510329 , 0.2014013636 , 0.8639469245 , 0.790303356 , 0.8922163667 , 0.0601799875 , 0.5686971978 , 0.2996299365 , 0.3433511604 
0.8402288142 , 0.134899057 , 0.4114271188 , 0.2274347409 , 0.1757572447 , 0.249299922 , 0.432856346 , 0.7366369623 , 0.7157746973 , 0.5593484938 , 0.2593424897 
0.8671402042 , 0.9801109242 , 0.960724669 , 0.7577056824 , 0.3758942606 , 0.1842100057 , 0.3922612122 , 0.0281826211 , 0.6432356159 , 0.6997810304 , 0.4442997837 
0.7240866488 , 0.901182394 , 0.7335532242 , 0.5143900048 , 0.7933987612 , 0.7937332117 , 0.0830872026 , 0.0930286977 , 0.1772293826 , 0.9233160173 , 0.5886565014 
0.1507507581 , 0.4036849998 , 0.8379564239 , 0.5836071041 , 0.1403219621 , 0.5537311211 , 0.1429555984 , 0.9881711616 , 0.4208713258 , 0.1230665226 , 0.2743960588 
0.1785770082 , 0.4989607837 , 0.1331058363 , 0.5708382204 , 0.5271434048 , 0.7763414523 , 0.2706192508 , 0.3967497041 , 0.500428101 , 0.1718016448 , 0.0148181063 
0.965200406 , 0.9240361406 , 0.0979053089 , 0.0582291042 , 0.1012655231 , 0.0212213262 , 0.2861568592 , 0.6899220245 , 0.1719720843 , 0.689841859 , 0.2872470078 
0.7555791889 , 0.8301638216 , 0.08160957 , 0.8985347874 , 0.8183349832 , 0.5024808957 , 0.02160131 , 0.7672308139 , 0.6810579039 , 0.5205620937 , 0.4320190463 
0.2518961243 , 0.0477054985 , 0.6766781025 , 0.5225153752 , 0.4444552031 , 0.1771062035 , 0.69431702 , 0.5747581315 , 0.1919243098 , 0.6595174265 , 0.2309771289 
0.2898296192 , 0.7177465307 , 0.6000597952 , 0.3110509454 , 0.0039033899 , 0.2899818202 , 0.4830230302 , 0.693745249 , 0.8178602685 , 0.2386022191 , 0.2580510587 
0.8994698385 , 0.1371370065 , 0.3422440537 , 0.4019507342 , 0.1587383165 , 0.1094748676 , 0.0830086381 , 0.6793004107 , 0.0098115178 , 0.3349047625 , 0.1724327481 
0.6864896202 , 0.8574201376 , 0.1714611123 , 0.8635958242 , 0.5517371581 , 0.7462192443 , 0.055520134 , 0.2112545846 , 0.2450135164 , 0.3453497533 , 0.3069900064 
0.8450733121 , 0.6564006992 , 0.9329045052 , 0.1350551322 , 0.1394237294 , 0.6266497541 , 0.9529154007 , 0.3780259485 , 0.1505588251 , 0.8523852397 , 0.4245870311 
0.4928028788 , 0.2543359739 , 0.6739012715 , 0.6022777469 , 0.3373446125 , 0.3532016822 , 0.6120892647 , 0.6722493749 , 0.0802075919 , 0.2985788854 , 0.2285130788 
0.2516687042 , 0.1621747096 , 0.0814066711 , 0.9978879485 , 0.2176948437 , 0.2926612557 , 0.2429014654 , 0.5630445974 , 0.221662371 , 0.0879747774 , 0.1545668761 
0.2230299097 , 0.3588690259 , 0.7812166302 , 0.1759453104 , 0.7368949745 , 0.9317754554 , 0.0283305501 , 0.2520579295 , 0.4245783347 , 0.2826665244 , 0.2555508143 
0.0268560816 , 0.6200111369 , 0.2791608837 , 0.6389453462 , 0.2922605118 , 0.3593684756 , 0.9375242316 , 0.8219300248 , 0.6110371798 , 0.0996989412 , 0.3023705886 
0.6089251288 , 0.3173937853 , 0.1959979516 , 0.8518265942 , 0.8804383827 , 0.4176603225 , 0.9398013717 , 0.0998836793 , 0.5722271986 , 0.1628312813 , 0.3432325622 
0.3534438293 , 0.3387765917 , 0.1956476797 , 0.2852192847 , 0.3671071422 , 0.4477056093 , 0.7097976194 , 0.6497736666 , 0.3736648103 , 0.7366537009 , 0.6528256941 
0.3755990476 , 0.5620453153 , 0.0121941697 , 0.3131232793 , 0.3839753405 , 0.62323135 , 0.4128222209 , 0.2873120364 , 0.2321564788 , 0.7302160063 , 0.1931101283 
0.083983073 , 0.610654389 , 0.9009703109 , 0.0237844447 , 0.7105380683 , 0.47319751 , 0.186615726 , 0.1692907736 , 0.8266413393 , 0.5253923177 , 0.2943903157 
