f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
0.5236944994,0.9921886073,0.4502883349,0.0271615968,0.0935753002,0.3339285837,0.7344343187,0.2212823792,0.4808651144,0.6538233473,0.4511242082
0.0370032429,0.8047620952,0.9142482192,0.4386142576,0.1258084746,0.3251995756,0.5997314686,0.1834266386,0.486539667,0.253695542,0.4169029181
0.8352071471,0.1664137635,0.3675088687,0.6185183963,0.0583882481,0.5360876485,0.6348533574,0.0452601193,0.5035236878,0.3800954004,0.4145856637
0.3414262622,0.0272181872,0.3722840077,0.791714597,0.054379784,0.4658593079,0.1256431807,0.7888141032,0.6871416871,0.6065082951,0.4260989412
0.4426374505,0.7241449305,0.4112703907,0.3568856698,0.1627591881,0.5370788653,0.6820852454,0.7624906567,0.7205055044,0.1686249124,0.4968482814
0.0161861987,0.5557126515,0.3350386764,0.3836950674,0.1742310482,0.3934269245,0.9197827158,0.8090844057,0.4386870442,0.4233064037,0.4449151136
0.189179806,0.7801133064,0.4505245909,0.5614638138,0.5718279039,0.5049043754,0.0273231221,0.6974710845,0.2937184786,0.7144648093,0.4790991291
0.3039793801,0.7363559292,0.4386097398,0.7152497708,0.0932415989,0.6013689283,0.2523286361,0.7753268443,0.363859585,0.9728341405,0.5253154553
0.9439517572,0.3800457842,0.5285467925,0.2789904336,0.7637408515,0.7027778407,0.672417358,0.6835235679,0.5118622463,0.1111044022,0.5576961034
0.1068299715,0.7010420528,0.8912177091,0.5573545629,0.2625058666,0.4630456129,0.0622589383,0.2898289887,0.1605166974,0.355977417,0.3850577817
0.0042937985,0.4644960775,0.0923333461,0.4429035382,0.1797458483,0.1855749451,0.0442724666,0.4320744849,0.9609017894,0.408132052,0.3214728347
0.4049086254,0.9048535465,0.7881778362,0.9334554179,0.1838439801,0.5519186878,0.6362332585,0.8562613386,0.2354422556,0.1480955053,0.5643190452
0.9673657408,0.3422722276,0.8491375581,0.8585834499,0.8996267905,0.1116434247,0.3216290628,0.9618857289,0.4014724139,0.4821457607,0.6195762158
0.3178631458,0.4057662124,0.9466418382,0.410196492,0.8486697506,0.1263876869,0.595771437,0.8929422176,0.5584621718,0.5566732264,0.5659374179
0.3010742697,0.9633707972,0.4615267734,0.0892521059,0.8968262156,0.6453707535,0.6411707937,0.5330594741,0.5016320921,0.8766130498,0.5909896325
0.6811549794,0.4689978333,0.2188852774,0.5302925375,0.3275812832,0.1185120679,0.6419359627,0.6492103464,0.0803977968,0.0434083766,0.3760376461
0.1313561071,0.3982609427,0.449174589,0.0779979452,0.8084574346,0.2978443396,0.2043856322,0.4042288717,0.1907865573,0.762847804,0.3725340223
0.9609020981,0.491860827,0.7262186017,0.4224288715,0.5811129329,0.6230448172,0.0677996255,0.222283727,0.1561042913,0.5694317175,0.482118751
0.0988967768,0.8372592712,0.0384295508,0.3177820542,0.3675518087,0.3660108345,0.4362941221,0.0094877714,0.0152211809,0.516691919,0.300362529
0.0528961481,0.1465772879,0.9149528616,0.5020707371,0.2245752332,0.7234102963,0.7999150772,0.4289608658,0.1276391679,0.9907016344,0.4911699309
0.1918086698,0.088541266,0.4825624619,0.9180272715,0.510970138,0.0636753947,0.5410720888,0.5787697635,0.2859591218,0.6971763805,0.4358562557
0.148201481,0.3848558986,0.5344356517,0.1866310323,0.7026379528,0.9019874604,0.5526418667,0.1389320749,0.9114752323,0.5678630476,0.5029661698
0.6556239938,0.9643713804,0.7144403355,0.5705768554,0.4664421179,0.9390155687,0.2939871517,0.2663571951,0.3679764345,0.4216263196,0.5660417353
0.2570588295,0.5597851048,0.5101675862,0.7396212914,0.4778123763,0.0211377242,0.8032966866,0.0188844656,0.5999074876,0.0892558084,0.4076927361
0.7160608461,0.7481089686,0.4741117074,0.2504964978,0.9347400009,0.1767496602,0.1524839583,0.4873818676,0.3156817355,0.0639591906,0.4319774433
0.0552449152,0.9713057294,0.0283305715,0.7696852507,0.5418825853,0.4947726894,0.7087008199,0.835869737,0.7611298845,0.388708855,0.5555631038
0.6503625009,0.8492200477,0.1368178236,0.1244742083,0.0997165455,0.071557825,0.301223869,0.2522005038,0.5589396926,0.6169056045,0.3661418621
0.3161596949,0.6141846082,0.5882113338,0.3444902664,0.3838698589,0.1300939191,0.8392629558,0.0925706788,0.9659636565,0.6003928403,0.4875199813
0.1692479337,0.2234597136,0.6185815544,0.8057102929,0.9911233569,0.3763915603,0.9199850289,0.7799247243,0.9374982528,0.0531442305,0.5875066648
0.1686335793,0.5878607542,0.9023642782,0.3054514029,0.7123349626,0.0020808238,0.3770092279,0.0135588315,0.2542813281,0.9359489209,0.4259524109
0.630464436,0.570441023,0.5501335291,0.2186757703,0.9149312894,0.934003388,0.3487696894,0.7541942452,0.0265740673,0.314733346,0.5262920784
0.3545870855,0.195822001,0.5381930596,0.9731686399,0.0015322939,0.5293164165,0.3495602007,0.9215173232,0.3092411407,0.2870584535,0.4459996615
0.9746615537,0.47787472,0.8749192078,0.8770258324,0.7833261234,0.5872541708,0.8791066562,0.1603353512,0.6008130023,0.1333879842,0.6348704602
0.0962842721,0.2312774388,0.7038290072,0.6464178013,0.4499532091,0.6187602966,0.5804211898,0.7987228986,0.3729545418,0.6069952571,0.5105615912
0.113456245,0.7275416274,0.8028172581,0.6516493047,0.7007102678,0.8043495519,0.1809657216,0.0502704685,0.7258668751,0.4902068623,0.5247834182
0.337328922,0.7005284294,0.9680815828,0.2122481302,0.5775542618,0.7514077062,0.799502301,0.456660918,0.9117430574,0.4003153034,0.6115370612
0.5900489027,0.00802733,0.6315927422,0.2938779099,0.6544451313,0.0815459513,0.912638207,0.2348663211,0.8802688504,0.2855927488,0.4572904095
